Teks,label,clean_text,normal_text,removedsw_text,stemmed_text,tokenized_text
"[PROMO] Beli paket Flash mulai 1GB di MY TELKOMSEL APP dpt EXTRA kuota 2GB 4G LTE dan EXTRA nelpon hingga 100mnt/1hr. Buruan, cek  di tsel.me/mytsel1 S&K",2,promo beli paket flash mulai gb di my telkomsel app dpt extra kuota gb g lte dan extra nelpon hingga mnt hr buruan cek di tsel me mytsel s k,promo beli paket flash mulai gb di my telkomsel app dapat extra kuota gb g lte dan extra nelpon hingga minta hari buruan cek di tsel me mytsel s ke,promo beli paket flash mulai gb my telkomsel app extra kuota gb g lte extra nelpon hingga minta hari buruan cek tsel me mytsel s,promo beli paket flash mulai gb my telkomsel app extra kuota gb g lte extra nelpon hingga minta hari buru cek tsel me mytsel s,"['promo', 'beli', 'paket', 'flash', 'mulai', 'gb', 'my', 'telkomsel', 'app', 'extra', 'kuota', 'gb', 'g', 'lte', 'extra', 'nelpon', 'hingga', 'minta', 'hari', 'buru', 'cek', 'tsel', 'me', 'mytsel', 's']"
2.5 GB/30 hari hanya Rp 35 Ribu Spesial buat Anda yang terpilih. Aktifkan sekarang juga di *550*905#. Promo sd 30 Nov 2015.Buruan aktifkan sekarang. S&K,2,  gb  hari hanya rp  ribu spesial buat anda yang terpilih aktifkan sekarang juga di   promo sd  nov  buruan aktifkan sekarang s k,gb hari hanya rp ribu spesial buat anda yang terpilih aktifkan sekarang juga di promo sd nov buruan aktifkan sekarang s ke,gb hari rp ribu spesial buat yang terpilih aktifkan sekarang di promo sd nov buruan aktifkan sekarang s,gb hari rp ribu spesial buat yang pilih aktif sekarang di promo sd nov buru aktif sekarang s,"['gb', 'hari', 'rp', 'ribu', 'spesial', 'buat', 'yang', 'pilih', 'aktif', 'sekarang', 'di', 'promo', 'sd', 'nov', 'buru', 'aktif', 'sekarang', 's']"
"2016-07-08 11:47:11.Plg Yth, sisa kuota Flash Anda 478KB. Download MyTelkomsel apps di http://tsel.me/tsel utk cek kuota&beli paket Flash atau hub *363#",2,      plg yth sisa kuota flash anda kb download mytelkomsel apps di http tsel me tsel utk cek kuota beli paket flash atau hub ,paling yth sisa kuota flash anda kb download mytelkomsel apps di http tsel me tsel untuk cek kuota beli paket flash atau hub,paling yth sisa kuota flash kb download mytelkomsel apps http tsel me tsel cek kuota beli paket flash hub,paling yth sisa kuota flash kb download mytelkomsel apps http tsel me tsel cek kuota beli paket flash hub,"['paling', 'yth', 'sisa', 'kuota', 'flash', 'kb', 'download', 'mytelkomsel', 'apps', 'http', 'tsel', 'me', 'tsel', 'cek', 'kuota', 'beli', 'paket', 'flash', 'hub']"
"2016-08-07 11:29:47.Plg Yth, sisa kuota Flash Anda 7160KB. Download MyTelkomsel apps di http://tsel.me/tsel utk cek kuota&beli paket Flash atau hub *363#",2,      plg yth sisa kuota flash anda kb download mytelkomsel apps di http tsel me tsel utk cek kuota beli paket flash atau hub ,paling yth sisa kuota flash anda kb download mytelkomsel apps di http tsel me tsel untuk cek kuota beli paket flash atau hub,paling yth sisa kuota flash kb download mytelkomsel apps http tsel me tsel cek kuota beli paket flash hub,paling yth sisa kuota flash kb download mytelkomsel apps http tsel me tsel cek kuota beli paket flash hub,"['paling', 'yth', 'sisa', 'kuota', 'flash', 'kb', 'download', 'mytelkomsel', 'apps', 'http', 'tsel', 'me', 'tsel', 'cek', 'kuota', 'beli', 'paket', 'flash', 'hub']"
4.5GB/30 hari hanya Rp 55 Ribu Spesial buat anda yang terpilih. Aktifkan sekarang juga di *550*907# Buruan..! SKB,2, gb  hari hanya rp  ribu spesial buat anda yang terpilih aktifkan sekarang juga di   buruan skb,gb hari hanya rp ribu spesial buat anda yang terpilih aktifkan sekarang juga di buruan skb,gb hari rp ribu spesial buat yang terpilih aktifkan sekarang di buruan skb,gb hari rp ribu spesial buat yang pilih aktif sekarang di buru skb,"['gb', 'hari', 'rp', 'ribu', 'spesial', 'buat', 'yang', 'pilih', 'aktif', 'sekarang', 'di', 'buru', 'skb']"
5 HARI LAGI ! EKSTRA Pulsa 50rb dg beli paket internet bulanan di MyTelkomsel utk pembelian pertama sjk 25Aug-25Sept. Cek detail promo di tsel.me/mytsel1,2, hari lagi ekstra pulsa rb dg beli paket internet bulanan di mytelkomsel utk pembelian pertama sjk aug sept cek detail promo di tsel me mytsel,hari lagi ekstra pulsa rb dengan beli paket internet bulanan di mytelkomsel untuk pembelian pertama sjk aug sept cek detail promo di tsel me mytsel,hari ekstra pulsa rb beli paket internet bulanan mytelkomsel pembelian pertama sjk aug sept cek detail promo tsel me mytsel,hari ekstra pulsa rb beli paket internet bulan mytelkomsel beli pertama sjk aug sept cek detail promo tsel me mytsel,"['hari', 'ekstra', 'pulsa', 'rb', 'beli', 'paket', 'internet', 'bulan', 'mytelkomsel', 'beli', 'pertama', 'sjk', 'aug', 'sept', 'cek', 'detail', 'promo', 'tsel', 'me', 'mytsel']"
"Ada iRing dgn tarif Rp. 0,1/7hr (perpanjangan Rp. 3190/7hr) dari hits Armada - Pencuri Hati. Tekan *808*3*1*4*1# lalu OK/Call. Info: 100&111",2,ada iring dgn tarif rp   hr perpanjangan rp  hr dari hits armada pencuri hati tekan      lalu ok call info  ,ada iring dengan tarif rp hari perpanjangan rp hari dari hits armada pencuri hati tekan lalu ok call informasi,iring tarif rp hari perpanjangan rp hari hits armada pencuri hati tekan lalu call informasi,iring tarif rp hari panjang rp hari hits armada curi hati tekan lalu call informasi,"['iring', 'tarif', 'rp', 'hari', 'panjang', 'rp', 'hari', 'hits', 'armada', 'curi', 'hati', 'tekan', 'lalu', 'call', 'informasi']"
Akhir bulan harus tetap eksis loh! Internetan pake volume ultima 900MB/30hr. Hrga mulai Rp 35rb di *100*471#. Tarif&lokasi cek di tsel.me/fl,2,akhir bulan harus tetap eksis loh internetan pake volume ultima mb hr hrga mulai rp rb di   tarif lokasi cek di tsel me fl,akhir bulan harus tetap eksis loh internetan pakai volume ultima mb hari hrga mulai rp rb di tarif lokasi cek di tsel me fl,akhir bulan tetap eksis loh internetan pakai volume ultima mb hari hrga mulai rp rb tarif lokasi cek tsel me fl,akhir bulan tetap eks loh internetan pakai volume ultima mb hari hrga mulai rp rb tarif lokasi cek tsel me fl,"['akhir', 'bulan', 'tetap', 'eks', 'loh', 'internetan', 'pakai', 'volume', 'ultima', 'mb', 'hari', 'hrga', 'mulai', 'rp', 'rb', 'tarif', 'lokasi', 'cek', 'tsel', 'me', 'fl']"
"Aktifkan iRing Coboy Jr - Terhebat. Tekan *808*7#. Info: 100&111 Ada hits terbaru dari NOAH - Jika Engkau. Aktifkan iRing nya di HP kamu. Ketik MG NOAH02 kirim ke 808 Info: 100&111 Berkah iRing Rp 1000 dr Yuni Shara - Akhirnya. Aktifkan iRing nya, Tkn *808*1*2*3# lalu Ok/Call. Raih THR PuluhanJt!. Berhenti: Unreg ke 808",2,aktifkan iring coboy jr terhebat tekan   info   ada hits terbaru dari noah jika engkau aktifkan iring nya di hp kamu ketik mg noah kirim ke  info   berkah iring rp  dr yuni shara akhirnya aktifkan iring nya tkn     lalu ok call raih thr puluhanjt berhenti unreg ke ,aktifkan iring coboy jr terhebat tekan informasi ada hits terbaru dari noah jika engkau aktifkan iring nya di hp kamu ketik mg noah kirim ke informasi berkah iring rp dari yuni shara akhirnya aktifkan iring nya tkn lalu ok call raih thr puluhanjt berhenti unreg ke,aktifkan iring coboy jr terhebat tekan informasi hits terbaru noah engkau aktifkan iring nya hp kamu ketik mg noah kirim informasi berkah iring rp yuni shara akhirnya aktifkan iring nya tkn lalu call raih thr puluhanjt berhenti unreg,aktif iring coboy jr hebat tekan informasi hits baru noah engkau aktif iring nya hp kamu ketik mg noah kirim informasi berkah iring rp yuni shara akhir aktif iring nya tkn lalu call raih thr puluhanjt henti unreg,"['aktif', 'iring', 'coboy', 'jr', 'hebat', 'tekan', 'informasi', 'hits', 'baru', 'noah', 'engkau', 'aktif', 'iring', 'nya', 'hp', 'kamu', 'ketik', 'mg', 'noah', 'kirim', 'informasi', 'berkah', 'iring', 'rp', 'yuni', 'shara', 'akhir', 'aktif', 'iring', 'nya', 'tkn', 'lalu', 'call', 'raih', 'thr', 'puluhanjt', 'henti', 'unreg']"
Ambil bonus harianmu di *600# (Bebas Pulsa). Dptkan gratis nelpon atau internetan dan promo lainnya sesuai hobimu!,2,ambil bonus harianmu di  bebas pulsa dptkan gratis nelpon atau internetan dan promo lainnya sesuai hobimu,ambil bonus harianmu di bebas pulsa dptkan gratis nelpon atau internetan dan promo lainnya sesuai hobimu,ambil bonus harianmu bebas pulsa dptkan gratis nelpon internetan promo lainnya sesuai hobimu,ambil bonus hari bebas pulsa dptkan gratis nelpon internetan promo lain sesuai hobi,"['ambil', 'bonus', 'hari', 'bebas', 'pulsa', 'dptkan', 'gratis', 'nelpon', 'internetan', 'promo', 'lain', 'sesuai', 'hobi']"
